episode,timestep,reward
4096,131040,-14.5366
4109,131520,-14.179
4122,132000,-14.8181
4134,132480,-15.0864
4147,132960,-14.66
4159,133440,-14.7831
4171,133920,-14.9837
4187,134400,-14.2689
4200,134880,-14.637
4214,135360,-14.2192
4225,135840,-15.0424
4238,136320,-14.9144
4250,136800,-14.9998
4263,137280,-14.5312
4277,137760,-14.358
4291,138240,-14.3084
4303,138720,-14.8727
4316,139200,-14.7966
4327,139680,-15.1893
4342,140160,-14.1987
4355,140640,-14.7062
4368,141120,-14.5156
4383,141600,-14.2733
4396,142080,-14.7381
4412,142560,-13.9445
4426,143040,-14.2267
4437,143520,-15.3157
4449,144000,-14.5084
4463,144480,-14.6776
4475,144960,-14.8484
4488,145440,-14.6869
4504,145920,-13.8286
4518,146400,-14.3833
4530,146880,-14.9782
4543,147360,-14.35
4557,147840,-14.6396
4570,148320,-14.3566
4584,148800,-14.2398
4596,149280,-14.9965
4609,149760,-14.6341
4622,150240,-14.5968
4634,150720,-14.9384
4646,151200,-14.8527
4659,151680,-14.864
4671,152160,-15.1019
4682,152640,-15.2935
4696,153120,-14.6933
4709,153600,-14.7435
4722,154080,-14.298
4735,154560,-14.7343
4749,155040,-14.4928
4761,155520,-14.6833
4773,156000,-15.0376
4785,156480,-14.794
4799,156960,-14.5488
4814,157440,-13.8695
4825,157920,-15.1336
4839,158400,-14.723
4851,158880,-14.7871
4866,159360,-14.3835
4879,159840,-14.2103
4895,160320,-14.0129
4907,160800,-14.6821
4921,161280,-14.4443
4934,161760,-14.6017
4944,162240,-15.5597
4958,162720,-14.5932
4971,163200,-14.6482
4982,163680,-15.1269
4995,164160,-14.5251
5010,164640,-14.1779
5023,165120,-14.6771
5033,165600,-15.8018
5048,166080,-14.2732
5061,166560,-14.5785
5076,167040,-14.0896
5088,167520,-14.7397
5101,168000,-14.6736
5114,168480,-15.168
5128,168960,-14.1894
5142,169440,-14.5862
5157,169920,-14.0167
5168,170400,-15.0394
5181,170880,-14.7766
5193,171360,-14.682
5207,171840,-14.448
5219,172320,-15.0704
5231,172800,-14.9441
5245,173280,-14.7217
5257,173760,-15.1175
5269,174240,-14.8226
5282,174720,-14.4796
5295,175200,-14.8745
5307,175680,-14.8362
5321,176160,-14.5196
5334,176640,-14.6818
5345,177120,-15.1898
5356,177600,-14.9562
5369,178080,-14.8861
5383,178560,-14.1326
5397,179040,-14.478
5410,179520,-14.4241
5424,180000,-14.5416
5438,180480,-14.2415
5450,180960,-14.5991
5466,181440,-14.1788
5479,181920,-14.4547
5492,182400,-14.7095
5506,182880,-14.4893
5518,183360,-14.6695
5529,183840,-15.2188
5542,184320,-14.8743
5556,184800,-14.3956
5569,185280,-14.7096
5583,185760,-14.4655
5596,186240,-14.4564
5609,186720,-14.838
5621,187200,-14.5292
5634,187680,-14.81
5647,188160,-14.9133
5660,188640,-14.5772
5672,189120,-14.6516
5687,189600,-14.3309
5699,190080,-14.8472
5712,190560,-14.6941
5725,191040,-14.8801
5738,191520,-14.6056
5749,192000,-15.0497
5760,192480,-15.3674
5773,192960,-14.4606
5785,193440,-15.1917
5798,193920,-14.9366
5811,194400,-14.4997
5822,194880,-15.209
5836,195360,-14.6223
5848,195840,-14.7186
5861,196320,-14.6703
5873,196800,-14.8366
5887,197280,-14.5231
5898,197760,-15.0885
5911,198240,-15.0312
5923,198720,-14.6482
5938,199200,-14.654
5951,199680,-14.5649
5964,200160,-14.6063
5976,200640,-15.0279
5989,201120,-14.5647
6002,201600,-14.6608
6014,202080,-14.9247
6026,202560,-14.9431
6041,203040,-14.3439
6052,203520,-15.2783
6066,204000,-14.2604
6079,204480,-14.8436
6092,204960,-14.4894
6104,205440,-14.7228
6120,205920,-14.0679
6132,206400,-14.7267
6146,206880,-14.3674
6158,207360,-15.0652
6170,207840,-15.163
6185,208320,-14.1799
6197,208800,-14.9971
6208,209280,-15.3412
6220,209760,-15.0293
6232,210240,-14.9394
6244,210720,-14.8446
6258,211200,-14.6164
6271,211680,-14.515
6284,212160,-14.7831
6296,212640,-15.0264
6307,213120,-15.4066
6318,213600,-15.5837
6330,214080,-14.839
6343,214560,-14.6133
6357,215040,-14.4306
6370,215520,-14.7343
6383,216000,-14.6152
6396,216480,-14.3451
6407,216960,-15.2745
6419,217440,-15.0068
6432,217920,-15.0513
6445,218400,-14.2366
6457,218880,-15.2923
6468,219360,-15.2057
6480,219840,-14.8597
6492,220320,-14.9628
6504,220800,-14.846
6519,221280,-14.3933
6532,221760,-14.58
6543,222240,-15.2833
6555,222720,-14.9997
6569,223200,-14.6917
6580,223680,-15.2394
6592,224160,-14.746
6605,224640,-14.5754
6618,225120,-14.8873
6631,225600,-14.9965
6643,226080,-14.8009
6657,226560,-14.7001
6669,227040,-14.8098
6683,227520,-14.4407
6695,228000,-14.7767
6707,228480,-14.9172
6720,228960,-14.9221
6736,229440,-13.9608
6749,229920,-14.6029
6761,230400,-15.0151
6773,230880,-15.0893
6785,231360,-14.8247
6797,231840,-14.8828
6812,232320,-14.3962
6824,232800,-14.8012
6836,233280,-14.976
6847,233760,-15.2285
6860,234240,-14.8396
6873,234720,-14.8158
6884,235200,-15.1807
6896,235680,-14.9571
6909,236160,-14.8118
6923,236640,-14.266
6938,237120,-14.2284
6950,237600,-14.7836
6964,238080,-14.4711
6976,238560,-15.0701
6988,239040,-14.961
7003,239520,-14.1652
7012,240000,-15.8742
7025,240480,-14.9033
7038,240960,-14.6881
7052,241440,-14.7321
7065,241920,-14.7331
7077,242400,-14.6826
7089,242880,-15.2112
7101,243360,-14.9941
7116,243840,-14.1201
7129,244320,-14.3083
7141,244800,-15.1307
7154,245280,-14.5669
7167,245760,-14.4605
7179,246240,-15.2253
7191,246720,-14.8366
7203,247200,-15.3223
7216,247680,-14.676
7227,248160,-15.4972
7238,248640,-15.2153
7250,249120,-14.5569
7261,249600,-15.3542
7273,250080,-15.0925
7286,250560,-14.5569
7298,251040,-15.2804
7310,251520,-15.0222
7321,252000,-15.4194
7332,252480,-15.2236
7343,252960,-15.0786
7354,253440,-15.5333
7364,253920,-15.417
7376,254400,-15.0974
7387,254880,-15.3867
7399,255360,-14.8803
7412,255840,-14.5192
7425,256320,-14.672
7437,256800,-14.9838
7448,257280,-15.3923
7460,257760,-14.9744
7472,258240,-14.8198
7484,258720,-15.0964
7496,259200,-14.9978
7510,259680,-14.5276
7522,260160,-14.8757
7534,260640,-14.9441
