episode,timestep,reward
21852,88200,3.0443
21927,88500,3.0442
22002,88800,3.0439
22077,89100,3.0439
22152,89400,3.0438
22227,89700,3.0438
22302,90000,3.044
22377,90300,3.0441
22452,90600,3.0443
22527,90900,3.0443
22602,91200,3.0442
22677,91500,3.0442
22752,91800,3.044
22827,92100,3.0443
22902,92400,3.044
22977,92700,3.044
23052,93000,3.044
23127,93300,3.0443
23202,93600,3.0443
23277,93900,3.0443
23352,94200,3.0443
23427,94500,3.0436
23502,94800,3.0435
23577,95100,3.0435
23652,95400,3.0435
23727,95700,3.0434
23802,96000,3.0437
23877,96300,3.0443
23952,96600,3.0441
24027,96900,3.0441
24102,97200,3.0441
24177,97500,3.0441
24252,97800,3.044
24327,98100,3.0436
24402,98400,3.0435
24477,98700,3.0436
24552,99000,3.0445
24627,99300,3.0444
24702,99600,3.0444
24777,99900,3.0442
24852,100200,3.0441
24927,100500,3.0439
25002,100800,3.0439
25077,101100,3.0437
25152,101400,3.0546
25227,101700,3.0447
25302,102000,3.0442
25377,102300,3.0445
25452,102600,3.0446
25527,102900,3.0441
25602,103200,3.0441
25677,103500,3.0441
25752,103800,3.0441
25827,104100,3.0441
25902,104400,3.0441
25977,104700,3.0442
26052,105000,3.0442
26127,105300,3.0442
26202,105600,3.0442
26277,105900,3.0442
26352,106200,3.0442
26427,106500,3.0442
26502,106800,3.0442
26577,107100,3.0442
26652,107400,3.0442
26727,107700,3.0441
26802,108000,3.044
26877,108300,3.044
26952,108600,3.044
27027,108900,3.044
27102,109200,3.044
27177,109500,3.0445
27252,109800,3.0446
27327,110100,3.0446
27402,110400,3.0447
27477,110700,3.0449
27552,111000,3.045
27627,111300,3.0446
27702,111600,3.0442
27777,111900,3.0443
27852,112200,3.0441
27927,112500,3.044
28002,112800,3.044
28077,113100,3.044
28152,113400,3.044
28227,113700,3.044
28302,114000,3.044
28377,114300,3.044
28452,114600,3.044
28527,114900,3.044
28602,115200,3.044
28677,115500,3.044
28752,115800,3.044
28827,116100,3.044
28902,116400,3.044
28977,116700,3.044
29052,117000,3.044
29127,117300,3.0452
29202,117600,3.0446
29277,117900,3.0443
29352,118200,3.0441
29427,118500,3.044
29502,118800,3.044
29577,119100,3.0441
29652,119400,3.044
29727,119700,3.044
29802,120000,3.0439
29877,120300,3.0438
29952,120600,3.0437
30027,120900,3.0438
30102,121200,3.0438
30177,121500,3.0438
30252,121800,3.0438
30327,122100,3.0437
30402,122400,3.0436
30477,122700,3.0434
30552,123000,3.0429
30627,123300,3.0427
30702,123600,3.0434
30777,123900,3.0431
30852,124200,3.0425
30921,124500,3.3047
30983,124800,3.6752
31043,125100,3.7961
31103,125400,3.7976
31163,125700,3.7975
31223,126000,3.7976
31283,126300,3.7975
31343,126600,3.7971
31403,126900,3.797
31463,127200,3.7966
31533,127500,3.2697
31608,127800,3.0441
