episode,timestep,reward
18,300,-18.8807
39,600,-19.2831
65,900,4.5677
91,1200,-1.4231
115,1500,5.9669
143,1800,2.5677
164,2100,4.3979
181,2400,-7.9554
204,2700,5.0009
228,3000,6.9806
248,3300,4.222
267,3600,2.9755
287,3900,3.7692
